location,date,month,ndvi,ndvi_sensor,prev_ndvi,ndvi_change,temperature,rainfall,next_ndvi
Bangalore,2010-01,1,0.3511,MODIS,,,20.9,4.8,0.3344
Bangalore,2010-02,2,0.3344,MODIS,0.3511,-0.0167,23.7,0.8,0.3775
Bangalore,2010-03,3,0.3775,MODIS,0.3344,0.0431,26.6,1.2,0.4036
Bangalore,2010-04,4,0.4036,MODIS,0.3775,0.0261,27.6,44,0.4043
Bangalore,2010-05,5,0.4043,MODIS,0.4036,0.0007,26,127.2,0.3472
Bangalore,2010-06,6,0.3472,MODIS,0.4043,-0.0571,23.6,135,0.3049
Bangalore,2010-07,7,0.3049,MODIS,0.3472,-0.0423,22.1,258.1,0.3069
Bangalore,2010-08,8,0.3069,MODIS,0.3049,0.002,22.2,169.7,0.4069
Bangalore,2010-09,9,0.4069,MODIS,0.3069,0.1,22.2,110.4,0.3439
Bangalore,2010-10,10,0.3439,MODIS,0.4069,-0.063,22.1,97.8,0.389
Bangalore,2010-11,11,0.389,MODIS,0.3439,0.0451,21,146.1,0.3484
Bangalore,2010-12,12,0.3484,MODIS,0.389,-0.0406,19.6,19.2,0.3373
Bangalore,2011-01,1,0.3373,MODIS,0.3484,-0.0111,20.5,1.3,0.3454
Bangalore,2011-02,2,0.3454,MODIS,0.3373,0.0081,21.8,13.2,0.3947
Bangalore,2011-03,3,0.3947,MODIS,0.3454,0.0493,25.2,1.5,0.4093
Bangalore,2011-04,4,0.4093,MODIS,0.3947,0.0146,25.6,169.8,0.4048
Bangalore,2011-05,5,0.4048,MODIS,0.4093,-0.0045,25.1,113.9,0.316
Bangalore,2011-06,6,0.316,MODIS,0.4048,-0.0888,22.9,74.6,0.1934
Bangalore,2011-07,7,0.1934,MODIS,0.316,-0.1226,22.1,172.6,0.2586
Bangalore,2011-08,8,0.2586,MODIS,0.1934,0.0652,21.8,205.7,0.4076
Bangalore,2011-09,9,0.4076,MODIS,0.2586,0.149,22,82.3,0.3452
Bangalore,2011-10,10,0.3452,MODIS,0.4076,-0.0624,22.2,197.7,0.394
Bangalore,2011-11,11,0.394,MODIS,0.3452,0.0488,20.5,65.7,0.3606
Bangalore,2011-12,12,0.3606,MODIS,0.394,-0.0334,20.1,14.9,0.3342
Bangalore,2012-01,1,0.3342,MODIS,0.3606,-0.0264,20.5,0.7,0.3319
Bangalore,2012-02,2,0.3319,MODIS,0.3342,-0.0023,22.9,0.1,0.36
Bangalore,2012-03,3,0.36,MODIS,0.3319,0.0281,26.1,1.6,0.3717
Bangalore,2012-04,4,0.3717,MODIS,0.36,0.0117,27.2,35.3,0.3949
Bangalore,2012-05,5,0.3949,MODIS,0.3717,0.0232,25.6,84.1,0.365
Bangalore,2012-06,6,0.365,MODIS,0.3949,-0.0299,23.8,70.1,0.2067
Bangalore,2012-07,7,0.2067,MODIS,0.365,-0.1583,22.7,100.1,0.3377
Bangalore,2012-08,8,0.3377,MODIS,0.2067,0.131,22,187.8,0.4144
Bangalore,2012-09,9,0.4144,MODIS,0.3377,0.0767,22.3,130.6,0.4103
